Geography,variable,value,datayear
San Francisco,15 to 24,0.1,2013
Seattle,15 to 24,0.135,2013
St. Louis,15 to 24,0.141,2013
Washington,15 to 24,0.15,2013
Atlanta,25 to 40,0.269,2013
Boston,25 to 40,0.293,2013
Charlotte,25 to 40,0.253,2013
Chicago,25 to 40,0.268,2013
Denver,25 to 40,0.299,2013
Houston,25 to 40,0.25,2013
Los Angeles,25 to 40,0.247,2013
Miami,25 to 40,0.242,2013
New York,25 to 40,0.247,2013
Philadelphia,25 to 40,0.241,2013
Phoenix,25 to 40,0.226,2013
San Francisco,25 to 40,0.308,2013
Seattle,25 to 40,0.301,2013
St. Louis,25 to 40,0.262,2013
Washington,25 to 40,0.297,2013
Atlanta,40 to 65,0.286,2013
Boston,40 to 65,0.27,2013
Charlotte,40 to 65,0.306,2013
Chicago,40 to 65,0.297,2013
Denver,40 to 65,0.295,2013
Houston,40 to 65,0.3,2013
Los Angeles,40 to 65,0.31,2013
Miami,40 to 65,0.326,2013
New York,40 to 65,0.313,2013
Philadelphia,40 to 65,0.295,2013
Phoenix,40 to 65,0.31,2013
San Francisco,40 to 65,0.336,2013
Seattle,40 to 65,0.318,2013
St. Louis,40 to 65,0.312,2013
Washington,40 to 65,0.29,2013
Atlanta,65+,0.095,2013
Boston,65+,0.09,2013
Charlotte,65+,0.08,2013
Chicago,65+,0.093,2013
Denver,65+,0.091,2013
Houston,65+,0.083,2013
Los Angeles,65+,0.093,2013
Miami,65+,0.13,2013
New York,65+,0.109,2013
Philadelphia,65+,0.106,2013
Phoenix,65+,0.08,2013
San Francisco,65+,0.118,2013
Seattle,65+,0.096,2013
St. Louis,65+,0.097,2013
Washington,65+,0.098,2013
Atlanta,0 to 14,0.164,2014
Boston,0 to 14,0.14,2014
Charlotte,0 to 14,0.206,2014
Chicago,0 to 14,0.186,2014
Denver,0 to 14,0.182,2014
Houston,0 to 14,0.213,2014
Los Angeles,0 to 14,0.182,2014
Miami,0 to 14,0.152,2014
New York,0 to 14,0.179,2014
Philadelphia,0 to 14,0.189,2014
Phoenix,0 to 14,0.226,2014
San Francisco,0 to 14,0.115,2014
Seattle,0 to 14,0.131,2014
St. Louis,0 to 14,0.171,2014
Washington,0 to 14,0.151,2014
Atlanta,15 to 24,0.164,2014
Boston,15 to 24,0.183,2014
Charlotte,15 to 24,0.139,2014
Chicago,15 to 24,0.139,2014
Denver,15 to 24,0.113,2014
Houston,15 to 24,0.144,2014
Los Angeles,15 to 24,0.145,2014
Miami,15 to 24,0.109,2014
New York,15 to 24,0.13,2014
Philadelphia,15 to 24,0.148,2014
Phoenix,15 to 24,0.144,2014
San Francisco,15 to 24,0.097,2014
Seattle,15 to 24,0.127,2014
St. Louis,15 to 24,0.137,2014
Washington,15 to 24,0.146,2014
Atlanta,25 to 40,0.275,2014
Boston,25 to 40,0.3,2014
Charlotte,25 to 40,0.25,2014
Chicago,25 to 40,0.269,2014
Denver,25 to 40,0.307,2014
Houston,25 to 40,0.254,2014
Los Angeles,25 to 40,0.247,2014
Miami,25 to 40,0.24,2014
New York,25 to 40,0.249,2014
Philadelphia,25 to 40,0.247,2014
Phoenix,25 to 40,0.225,2014
San Francisco,25 to 40,0.308,2014
Seattle,25 to 40,0.305,2014
St. Louis,25 to 40,0.261,2014
Washington,25 to 40,0.308,2014
Atlanta,40 to 65,0.285,2014
Boston,40 to 65,0.272,2014
Charlotte,40 to 65,0.311,2014
Chicago,40 to 65,0.291,2014
Denver,40 to 65,0.291,2014
Houston,40 to 65,0.291,2014
Los Angeles,40 to 65,0.309,2014
Miami,40 to 65,0.339,2014
New York,40 to 65,0.313,2014
Philadelphia,40 to 65,0.29,2014
Phoenix,40 to 65,0.307,2014
San Francisco,40 to 65,0.336,2014
Seattle,40 to 65,0.315,2014
St. Louis,40 to 65,0.32,2014
Washington,40 to 65,0.282,2014
Atlanta,65+,0.1,2014
Boston,65+,0.09,2014
Charlotte,65+,0.082,2014
Chicago,65+,0.1,2014
Denver,65+,0.093,2014
Houston,65+,0.085,2014
Los Angeles,65+,0.099,2014
Miami,65+,0.133,2014
New York,65+,0.11,2014
Philadelphia,65+,0.107,2014
Phoenix,65+,0.086,2014
San Francisco,65+,0.122,2014
Seattle,65+,0.102,2014
St. Louis,65+,0.099,2014
Washington,65+,0.098,2014
Atlanta,0 to 14,0.156,2015
Boston,0 to 14,0.141,2015
Charlotte,0 to 14,0.199,2015
Chicago,0 to 14,0.181,2015
Denver,0 to 14,0.18,2015
Houston,0 to 14,0.217,2015
Los Angeles,0 to 14,0.179,2015
Miami,0 to 14,0.147,2015
New York,0 to 14,0.178,2015
Philadelphia,0 to 14,0.187,2015
Phoenix,0 to 14,0.22,2015
San Francisco,0 to 14,0.115,2015
Seattle,0 to 14,0.126,2015
St. Louis,0 to 14,0.172,2015
Washington,0 to 14,0.151,2015
Atlanta,15 to 24,0.153,2015
Boston,15 to 24,0.175,2015
Charlotte,15 to 24,0.135,2015
Chicago,15 to 24,0.139,2015
Denver,15 to 24,0.111,2015
Houston,15 to 24,0.142,2015
Los Angeles,15 to 24,0.145,2015
Miami,15 to 24,0.101,2015
New York,15 to 24,0.126,2015
Philadelphia,15 to 24,0.142,2015
Phoenix,15 to 24,0.142,2015
San Francisco,15 to 24,0.094,2015
Seattle,15 to 24,0.133,2015
St. Louis,15 to 24,0.132,2015
Washington,15 to 24,0.144,2015
Atlanta,25 to 40,0.288,2015
Boston,25 to 40,0.311,2015
Charlotte,25 to 40,0.252,2015
Chicago,25 to 40,0.269,2015
Denver,25 to 40,0.309,2015
Houston,25 to 40,0.257,2015
Los Angeles,25 to 40,0.25,2015
Miami,25 to 40,0.245,2015
New York,25 to 40,0.252,2015
Philadelphia,25 to 40,0.253,2015
Phoenix,25 to 40,0.232,2015
San Francisco,25 to 40,0.316,2015
Seattle,25 to 40,0.309,2015
St. Louis,25 to 40,0.275,2015
Washington,25 to 40,0.306,2015
Atlanta,40 to 65,0.284,2015
Boston,40 to 65,0.266,2015
Charlotte,40 to 65,0.314,2015
Chicago,40 to 65,0.296,2015
Denver,40 to 65,0.289,2015
Houston,40 to 65,0.287,2015
Los Angeles,40 to 65,0.311,2015
Miami,40 to 65,0.336,2015
New York,40 to 65,0.311,2015
Philadelphia,40 to 65,0.291,2015
Phoenix,40 to 65,0.302,2015
San Francisco,40 to 65,0.329,2015
Seattle,40 to 65,0.319,2015
St. Louis,40 to 65,0.307,2015
Washington,40 to 65,0.283,2015
Atlanta,65+,0.103,2015
Boston,65+,0.091,2015
Charlotte,65+,0.088,2015
Chicago,65+,0.102,2015
Denver,65+,0.096,2015
Houston,65+,0.086,2015
Los Angeles,65+,0.099,2015
Miami,65+,0.141,2015
New York,65+,0.113,2015
Philadelphia,65+,0.108,2015
Phoenix,65+,0.091,2015
San Francisco,65+,0.123,2015
Seattle,65+,0.095,2015
St. Louis,65+,0.1,2015
Washington,65+,0.096,2015
Atlanta,0 to 14,0.166,2016
Boston,0 to 14,0.136,2016
Charlotte,0 to 14,0.204,2016
Chicago,0 to 14,0.179,2016
Denver,0 to 14,0.176,2016
Houston,0 to 14,0.214,2016
Los Angeles,0 to 14,0.174,2016
Miami,0 to 14,0.146,2016
New York,0 to 14,0.178,2016
Philadelphia,0 to 14,0.187,2016
Phoenix,0 to 14,0.225,2016
San Francisco,0 to 14,0.116,2016
Seattle,0 to 14,0.131,2016
St. Louis,0 to 14,0.168,2016
Washington,0 to 14,0.154,2016
Atlanta,15 to 24,0.155,2016
Boston,15 to 24,0.176,2016
Charlotte,15 to 24,0.135,2016
Chicago,15 to 24,0.136,2016
Denver,15 to 24,0.111,2016
Houston,15 to 24,0.139,2016
Los Angeles,15 to 24,0.138,2016
Miami,15 to 24,0.107,2016
New York,15 to 24,0.124,2016
Philadelphia,15 to 24,0.139,2016
Phoenix,15 to 24,0.144,2016
San Francisco,15 to 24,0.092,2016
Seattle,15 to 24,0.133,2016
St. Louis,15 to 24,0.129,2016
Washington,15 to 24,0.141,2016
Atlanta,25 to 40,0.286,2016
Boston,25 to 40,0.309,2016
Charlotte,25 to 40,0.253,2016
Chicago,25 to 40,0.274,2016
Denver,25 to 40,0.312,2016
Houston,25 to 40,0.252,2016
Los Angeles,25 to 40,0.253,2016
Miami,25 to 40,0.237,2016
New York,25 to 40,0.253,2016
Philadelphia,25 to 40,0.255,2016
Phoenix,25 to 40,0.228,2016
San Francisco,25 to 40,0.321,2016
Seattle,25 to 40,0.31,2016
St. Louis,25 to 40,0.268,2016
Washington,25 to 40,0.31,2016
Atlanta,40 to 65,0.283,2016
Boston,40 to 65,0.269,2016
Charlotte,40 to 65,0.312,2016
Chicago,40 to 65,0.295,2016
Denver,40 to 65,0.291,2016
Houston,40 to 65,0.294,2016
Los Angeles,40 to 65,0.315,2016
Miami,40 to 65,0.334,2016
New York,40 to 65,0.31,2016
Philadelphia,40 to 65,0.291,2016
Phoenix,40 to 65,0.298,2016
San Francisco,40 to 65,0.322,2016
Seattle,40 to 65,0.304,2016
St. Louis,40 to 65,0.317,2016
Washington,40 to 65,0.279,2016
Atlanta,65+,0.099,2016
Boston,65+,0.094,2016
Charlotte,65+,0.086,2016
Chicago,65+,0.103,2016
Denver,65+,0.097,2016
Houston,65+,0.089,2016
Los Angeles,65+,0.103,2016
Miami,65+,0.147,2016
New York,65+,0.117,2016
Philadelphia,65+,0.11,2016
Phoenix,65+,0.092,2016
San Francisco,65+,0.124,2016
Seattle,65+,0.102,2016
St. Louis,65+,0.103,2016
Washington,65+,0.101,2016
Atlanta,0 to 14,0.158,2017
Boston,0 to 14,0.129,2017
Charlotte,0 to 14,0.195,2017
Chicago,0 to 14,0.175,2017
Denver,0 to 14,0.17,2017
Houston,0 to 14,0.216,2017
Los Angeles,0 to 14,0.171,2017
Miami,0 to 14,0.148,2017
New York,0 to 14,0.175,2017
Philadelphia,0 to 14,0.185,2017
Phoenix,0 to 14,0.22,2017
San Francisco,0 to 14,0.116,2017
Seattle,0 to 14,0.136,2017
St. Louis,0 to 14,0.165,2017
Washington,0 to 14,0.157,2017
Atlanta,15 to 24,0.165,2017
Boston,15 to 24,0.176,2017
Charlotte,15 to 24,0.136,2017
Chicago,15 to 24,0.133,2017
Denver,15 to 24,0.109,2017
Houston,15 to 24,0.133,2017
Los Angeles,15 to 24,0.137,2017
Miami,15 to 24,0.11,2017
New York,15 to 24,0.12,2017
Philadelphia,15 to 24,0.135,2017
Phoenix,15 to 24,0.141,2017
San Francisco,15 to 24,0.091,2017
Seattle,15 to 24,0.12,2017
St. Louis,15 to 24,0.122,2017
Washington,15 to 24,0.13,2017
Atlanta,25 to 40,0.286,2017
Boston,25 to 40,0.313,2017
Charlotte,25 to 40,0.259,2017
Chicago,25 to 40,0.274,2017
Denver,25 to 40,0.315,2017
Houston,25 to 40,0.26,2017
Los Angeles,25 to 40,0.256,2017
Miami,25 to 40,0.244,2017
New York,25 to 40,0.253,2017
Philadelphia,25 to 40,0.256,2017
Phoenix,25 to 40,0.228,2017
San Francisco,25 to 40,0.322,2017
Seattle,25 to 40,0.316,2017
St. Louis,25 to 40,0.274,2017
Washington,25 to 40,0.319,2017
Atlanta,40 to 65,0.279,2017
Boston,40 to 65,0.266,2017
Charlotte,40 to 65,0.308,2017
Chicago,40 to 65,0.297,2017
Denver,40 to 65,0.289,2017
Houston,40 to 65,0.286,2017
Los Angeles,40 to 65,0.31,2017
Miami,40 to 65,0.334,2017
New York,40 to 65,0.309,2017
Philadelphia,40 to 65,0.29,2017
Phoenix,40 to 65,0.304,2017
San Francisco,40 to 65,0.318,2017
Seattle,40 to 65,0.304,2017
St. Louis,40 to 65,0.31,2017
Washington,40 to 65,0.272,2017
Atlanta,65+,0.1,2017
Boston,65+,0.103,2017
Charlotte,65+,0.093,2017
Chicago,65+,0.109,2017
Denver,65+,0.101,2017
Houston,65+,0.094,2017
Los Angeles,65+,0.105,2017
Miami,65+,0.139,2017
New York,65+,0.124,2017
Philadelphia,65+,0.117,2017
Phoenix,65+,0.094,2017
San Francisco,65+,0.129,2017
Seattle,65+,0.108,2017
St. Louis,65+,0.114,2017
Washington,65+,0.105,2017
